src_res,src_x,src_y,dst_res,dst_x,dst_y,source
RMUX68,14,7,RMUX80,15,7,silicon_harvest
OMUX26,16,10,OMUX25,16,10,silicon_harvest
RMUX33,20,6,RMUX44,16,6,silicon_harvest
RMUX27,14,10,RMUX21,14,8,silicon_harvest
OMUX23,16,10,RMUX44,16,10,silicon_harvest
RMUX55,15,5,RMUX31,15,9,silicon_harvest
RMUX21,16,10,RMUX87,16,9,silicon_harvest
RMUX75,18,5,RMUX20,18,8,silicon_harvest
OMUX32,16,10,OMUX31,16,10,silicon_harvest
RMUX73,16,11,RMUX22,16,10,silicon_harvest
RMUX26,17,6,RMUX09,16,6,silicon_harvest
RMUX16,16,10,IMUX16,16,10,silicon_harvest
RMUX27,14,10,RMUX21,14,9,silicon_harvest
RMUX21,14,9,RMUX87,14,7,silicon_harvest
RMUX26,16,10,RMUX03,15,10,silicon_harvest
RMUX44,16,10,RMUX75,16,9,silicon_harvest
RMUX09,16,6,RMUX39,16,8,silicon_harvest
RMUX68,14,5,RMUX75,18,5,silicon_harvest
RMUX87,14,8,RMUX68,14,7,silicon_harvest
RMUX85,17,6,RMUX48,17,10,silicon_harvest
RMUX56,16,6,RMUX27,14,6,silicon_harvest
OMUX02,16,10,OMUX01,16,10,silicon_harvest
RMUX87,14,7,RMUX68,14,5,silicon_harvest
RMUX27,16,10,RMUX14,16,8,silicon_harvest
OMUX29,16,10,RMUX56,16,10,silicon_harvest
RMUX80,20,10,RMUX33,20,6,silicon_harvest
RMUX20,18,8,RMUX75,15,8,silicon_harvest
RMUX68,12,1,RMUX85,15,1,silicon_harvest
RMUX21,14,10,RMUX87,14,6,silicon_harvest
RMUX68,16,5,RMUX80,17,5,silicon_harvest
OMUX20,16,10,OMUX19,16,10,silicon_harvest
OMUX13,16,10,IMUX20,16,10,silicon_harvest
OMUX01,16,10,IMUX04,16,10,silicon_harvest
OMUX07,16,10,IMUX12,16,10,silicon_harvest
RMUX63,14,2,RMUX69,12,2,silicon_harvest
RMUX03,15,10,RMUX14,16,10,silicon_harvest
RMUX25,16,9,RMUX16,16,10,silicon_harvest
RMUX10,16,10,IMUX32,16,10,silicon_harvest
OMUX20,16,10,RMUX27,16,10,silicon_harvest
RMUX69,12,2,RMUX87,12,3,silicon_harvest
RMUX14,16,10,RMUX56,16,6,silicon_harvest
RMUX31,15,9,RMUX25,16,9,silicon_harvest
OMUX25,16,10,IMUX36,16,10,silicon_harvest
RMUX21,14,10,RMUX87,14,8,silicon_harvest
OMUX35,16,10,RMUX68,16,10,silicon_harvest
RMUX85,15,1,RMUX55,15,5,silicon_harvest
RMUX58,16,10,IMUX08,16,10,silicon_harvest
RMUX87,16,9,RMUX68,16,5,silicon_harvest
RMUX03,16,10,RMUX21,14,10,silicon_harvest
OMUX08,16,10,OMUX07,16,10,silicon_harvest
RMUX32,20,9,RMUX43,20,11,silicon_harvest
RMUX32,17,2,RMUX26,17,6,silicon_harvest
RMUX87,12,3,RMUX68,12,1,silicon_harvest
RMUX27,14,6,RMUX20,14,4,silicon_harvest
RMUX80,20,10,RMUX32,20,9,silicon_harvest
OMUX31,16,10,IMUX44,16,10,silicon_harvest
RMUX15,15,10,RMUX52,16,10,silicon_harvest
OMUX05,16,10,RMUX21,16,10,silicon_harvest
RMUX22,16,10,IMUX00,16,10,silicon_harvest
OMUX14,16,10,OMUX13,16,10,silicon_harvest
RMUX45,15,4,RMUX92,17,4,silicon_harvest
RMUX75,16,9,RMUX10,16,10,silicon_harvest
RMUX56,16,10,RMUX27,14,10,silicon_harvest
RMUX81,13,4,RMUX45,15,4,silicon_harvest
RMUX75,15,8,RMUX15,15,10,silicon_harvest
RMUX80,17,5,RMUX32,17,2,silicon_harvest
RMUX39,16,8,RMUX58,16,10,silicon_harvest
OMUX17,16,10,RMUX26,16,10,silicon_harvest
RMUX68,16,10,RMUX80,20,10,silicon_harvest
RMUX80,15,7,RMUX33,15,4,silicon_harvest
OMUX19,16,10,IMUX28,16,10,silicon_harvest
RMUX92,17,4,RMUX85,17,6,silicon_harvest
RMUX48,17,10,IMUX24,16,10,silicon_harvest
RMUX87,14,6,RMUX63,14,2,silicon_harvest
RMUX44,16,6,RMUX80,16,5,silicon_harvest
RMUX43,20,11,RMUX73,16,11,silicon_harvest
RMUX80,14,8,RMUX26,14,4,silicon_harvest
RMUX44,18,8,RMUX80,18,5,silicon_harvest
RMUX25,18,8,RMUX22,18,12,silicon_harvest
OMUX01,18,12,IMUX04,18,12,silicon_harvest
RMUX25,16,7,RMUX01,16,9,silicon_harvest
RMUX58,18,12,IMUX00,18,12,silicon_harvest
OMUX05,18,12,RMUX04,18,12,silicon_harvest
OMUX25,18,12,IMUX36,18,12,silicon_harvest
OMUX23,18,12,RMUX44,18,12,silicon_harvest
OMUX29,18,12,RMUX50,18,12,silicon_harvest
OMUX14,18,12,OMUX13,18,12,silicon_harvest
